2	3	4	1	5	6	7	8	9	5	10	11	
3	4	5	1	6	7	8	9	10	6	11	1	
4	5	6	1	7	8	9	10	11	7	1	2	
5	6	7	1	8	9	10	11	1	8	2	3	
6	7	8	2	9	10	11	1	2	9	3	4	
7	8	9	2	10	11	1	2	3	10	4	5	
8	9	10	2	11	1	2	3	4	11	5	6	
9	10	11	2	1	2	3	4	5	1	6	7	
10	11	1	9	2	3	4	5	6	1	7	8	
11	1	2	10	3	4	5	6	7	1	8	9	
1	2	3	11	4	5	6	7	8	1	9	10	
3	5	7	3	9	11	2	4	6	5	8	10	
4	6	8	3	10	1	3	5	7	6	9	11	
5	7	9	3	11	2	4	6	8	7	10	1	
6	8	10	3	1	3	5	7	9	8	11	2	
7	9	11	4	2	4	6	8	10	9	1	3	
8	10	1	4	3	5	7	9	11	10	2	4	
9	11	2	4	4	6	8	10	1	11	3	5	
10	1	3	4	5	7	9	11	2	2	4	6	
11	2	4	9	6	8	10	1	3	2	5	7	
1	3	5	10	7	9	11	2	4	2	6	8	
2	4	6	11	8	10	1	3	5	2	7	9	
4	7	10	5	2	5	8	11	3	5	6	9	
5	8	11	5	3	6	9	1	4	6	7	10	
6	9	1	5	4	7	10	2	5	7	8	11	
7	10	2	5	5	8	11	3	6	8	9	1	
8	11	3	6	6	9	1	4	7	9	10	2	
9	1	4	6	7	10	2	5	8	10	11	3	
10	2	5	6	8	11	3	6	9	11	1	4	
11	3	6	6	9	1	4	7	10	3	2	5	
1	4	7	9	10	2	5	8	11	3	3	6	
2	5	8	10	11	3	6	9	1	3	4	7	
3	6	9	11	1	4	7	10	2	3	5	8	
5	9	2	7	6	10	3	7	11	5	4	8	
6	10	3	7	7	11	4	8	1	6	5	9	
7	11	4	7	8	1	5	9	2	7	6	10	
8	1	5	7	9	2	6	10	3	8	7	11	
9	2	6	8	10	3	7	11	4	9	8	1	
10	3	7	8	11	4	8	1	5	10	9	2	
11	4	8	8	1	5	9	2	6	11	10	3	
1	5	9	8	2	6	10	3	7	4	11	4	
2	6	10	9	3	7	11	4	8	4	1	5	
3	7	11	10	4	8	1	5	9	4	2	6	
4	8	1	11	5	9	2	6	10	4	3	7	
